i161,u2625,click,2014/9/18,15:03
i161,u2626,click,2014/9/23,22:40
i161,u2627,click,2014/9/25,19:09
i161,u2628,click,2014/9/28,21:35
i161,u2629,click,2014/9/27,16:33
i161,u2630,click,2014/9/5,18:45
i161,u2631,click,2014/9/29,16:57
i161,u2632,click,2014/9/24,21:58
i161,u2633,click,2014/9/25,22:41
i161,u2634,click,2014/9/16,13:30
i161,u2635,click,2014/9/20,9:23
i161,u2636,click,2014/9/21,1:00
i161,u2637,click,2014/9/24,22:51
i161,u2638,click,2014/9/27,22:40
i161,u2639,click,2014/9/20,10:25
i161,u2640,click,2014/9/28,20:36
i161,u2641,click,2014/9/19,4:19
i161,u2642,click,2014/9/28,1:11
i161,u2643,click,2014/9/30,5:17
i161,u2644,click,2014/9/23,22:21
i161,u2645,click,2014/9/30,0:27
i161,u2646,click,2014/9/6,15:34
i161,u2647,click,2014/9/21,9:32
i161,u2648,click,2014/9/24,16:29
i161,u2649,click,2014/9/19,10:11
i161,u2650,click,2014/9/5,12:54
i161,u2649,click,2014/9/27,2:55
i161,u2651,click,2014/9/26,6:44
i161,u2652,click,2014/9/17,6:49
i161,u2653,click,2014/9/20,3:21
i161,u2654,click,2014/9/22,6:07
i161,u2655,click,2014/9/19,17:14
i161,u2656,click,2014/9/27,21:08
i161,u2657,click,2014/9/25,2:44
i161,u2658,click,2014/9/23,4:34
i161,u2659,click,2014/9/19,7:22
i161,u2660,click,2014/9/5,0:08
i161,u2661,click,2014/9/19,19:14
i161,u2662,click,2014/9/18,12:41
i161,u2663,click,2014/9/23,2:12
i161,u2664,click,2014/9/2,14:25
i161,u2665,click,2014/9/29,7:30
i161,u2666,click,2014/9/25,3:38
i161,u2667,click,2014/9/5,13:53
i161,u2668,click,2014/9/18,17:21
i161,u2669,click,2014/9/30,12:53
i161,u2670,click,2014/9/21,17:54
i161,u2671,click,2014/9/29,3:47
i161,u2672,click,2014/9/24,6:02
i161,u41,click,2014/9/30,15:19
i161,u2673,click,2014/9/18,20:26
i161,u2674,click,2014/9/26,0:09
i161,u2675,click,2014/9/28,19:41
i161,u2676,click,2014/9/30,15:13
i161,u2677,click,2014/9/16,13:37
i161,u2678,click,2014/9/6,14:09
i161,u2679,click,2014/9/29,0:25
i161,u2680,click,2014/9/18,11:30
i161,u2681,click,2014/9/25,10:43
i161,u2682,click,2014/9/23,21:33
i161,u2683,click,2014/9/6,15:20
i161,u2684,click,2014/9/25,4:12
i161,u2685,click,2014/9/27,8:34
i161,u2686,click,2014/9/16,22:12
i161,u2687,click,2014/9/6,18:22
i161,u2688,click,2014/9/23,13:21
i161,u2689,click,2014/9/4,22:20
i161,u2690,click,2014/9/26,17:33
i161,u2691,click,2014/9/4,15:48
i161,u2692,click,2014/9/18,17:39
i161,u2693,click,2014/9/28,19:18
i161,u2694,click,2014/9/10,20:11
i161,u2695,click,2014/9/4,21:37
i161,u2696,click,2014/9/26,19:58
i161,u2697,click,2014/9/21,4:25
i161,u2698,click,2014/9/25,17:05
i161,u2699,click,2014/9/28,20:30
i161,u2700,click,2014/9/20,9:58
i161,u2701,click,2014/9/22,0:43
i161,u2702,click,2014/9/21,8:36
i161,u2703,click,2014/9/25,7:11
i161,u2704,click,2014/9/27,22:39
i161,u2705,click,2014/9/5,21:12
i161,u2706,click,2014/9/29,2:33
i161,u2707,click,2014/9/25,12:36
i161,u2708,click,2014/9/30,15:00
i161,u2709,click,2014/9/26,16:14
i161,u2710,click,2014/9/29,14:42
i161,u2711,click,2014/9/18,18:36
i161,u2712,click,2014/9/7,14:54
i161,u2713,click,2014/9/28,14:43
i161,u2714,click,2014/9/28,20:15
i161,u2715,click,2014/9/19,1:38
i161,u2716,click,2014/9/27,16:42
i161,u2717,click,2014/9/17,13:14
i161,u2718,click,2014/9/5,18:56
i161,u2719,click,2014/9/30,21:01
i161,u2720,click,2014/9/25,12:49
i161,u2721,click,2014/9/27,6:45
i161,u2722,click,2014/9/19,14:28
i161,u2722,click,2014/9/1,16:04
i161,u2722,click,2014/9/26,13:02
i161,u2722,click,2014/9/26,17:27
i161,u2722,click,2014/9/18,23:22
i161,u2722,click,2014/9/11,22:18
i161,u2722,click,2014/9/16,17:32
i161,u2722,click,2014/9/8,15:00
i161,u2722,click,2014/9/26,23:00
i161,u2722,click,2014/9/12,13:46
i161,u2722,click,2014/9/11,22:33
i446,u2723,click,2014/9/6,10:17
i446,u2724,click,2014/9/29,19:59
i446,u2725,click,2014/9/1,19:52
i446,u2726,click,2014/9/15,10:39
i446,u2723,click,2014/9/14,9:57
i446,u2723,click,2014/9/24,22:01
i446,u2723,click,2014/9/1,16:16
i446,u2723,click,2014/9/17,16:52
i446,u2723,click,2014/9/25,11:15
i446,u2723,click,2014/9/21,15:14
i446,u2723,click,2014/9/30,12:45
i446,u2723,click,2014/9/20,17:20
i446,u2727,cart,2014/9/19,18:11
i446,u2728,click,2014/9/5,11:12
i446,u2729,click,2014/9/16,11:16
i446,u2729,click,2014/9/13,18:04
i446,u2729,click,2014/9/18,13:06
i446,u2729,click,2014/9/1,10:28
i446,u2729,click,2014/9/8,17:06
i446,u2729,click,2014/9/8,21:45
i446,u2724,click,2014/9/13,22:17
i446,u2723,click,2014/9/23,19:34
i446,u2729,click,2014/9/3,23:50
i446,u2724,click,2014/9/14,16:12
i446,u2723,click,2014/9/26,17:11
i446,u2729,click,2014/9/24,23:16
i446,u2724,click,2014/9/21,11:40
i446,u2723,click,2014/9/8,11:10
i446,u2729,click,2014/9/19,9:11
i446,u2724,click,2014/9/28,14:15
i446,u2723,click,2014/9/22,15:04
i446,u2729,click,2014/9/20,15:07
i446,u2724,click,2014/9/23,15:48
i446,u2723,click,2014/9/3,15:15
i446,u2729,click,2014/9/15,10:21
i446,u2724,click,2014/9/30,16:12
i446,u2723,click,2014/9/22,17:01
i446,u2729,click,2014/9/14,13:07
i446,u2724,click,2014/9/24,15:41
i446,u2723,click,2014/9/1,14:17
i446,u2729,click,2014/9/16,14:10
i446,u2724,click,2014/9/21,23:37
i446,u2723,click,2014/9/30,15:52
i446,u2729,click,2014/9/25,16:09
i446,u2724,click,2014/9/4,16:12
i446,u2723,click,2014/9/22,14:27
i446,u2729,click,2014/9/17,12:32
i446,u2724,click,2014/9/3,10:12
i446,u2723,click,2014/9/28,22:19
i446,u2729,click,2014/9/8,11:42
i446,u2724,click,2014/9/9,13:01
i446,u2723,click,2014/9/23,19:07
i446,u2729,click,2014/9/12,19:10
i446,u2724,click,2014/9/24,15:43
i446,u2723,click,2014/9/7,19:54
i446,u2729,click,2014/9/26,10:47
i446,u2724,click,2014/9/19,12:19
i446,u2723,click,2014/9/20,13:09
i446,u2729,click,2014/9/16,13:17
i446,u2724,click,2014/9/13,11:19
i446,u2723,click,2014/9/4,11:31
i446,u2729,click,2014/9/13,16:45
i446,u2724,click,2014/9/25,15:30
i446,u2723,click,2014/9/22,20:05
i446,u2729,click,2014/9/15,21:22
i446,u2724,click,2014/9/28,22:04
i446,u2723,click,2014/9/5,16:11
i446,u2729,click,2014/9/19,19:01
i446,u2724,click,2014/9/5,9:06
i446,u2723,click,2014/9/28,21:07
i446,u2729,click,2014/9/24,11:46
i446,u2724,click,2014/9/21,16:14
i446,u2723,click,2014/9/11,19:11
i446,u2729,click,2014/9/8,10:34
i446,u2724,click,2014/9/29,9:10
i446,u2723,click,2014/9/26,9:17
i446,u2729,click,2014/9/23,13:16
i446,u2724,click,2014/9/17,20:17
i446,u2723,click,2014/9/21,18:04
i446,u2729,click,2014/9/11,11:15
i446,u2724,click,2014/9/30,12:14
i446,u2730,click,2014/9/5,9:26
i446,u2731,click,2014/9/16,9:53
i446,u2723,click,2014/9/21,17:15
i446,u2732,click,2014/9/14,13:03
i446,u2730,click,2014/9/2,10:01
i446,u2730,click,2014/9/1,21:49
i446,u2730,click,2014/9/3,2:10
i446,u2733,click,2014/9/29,15:27
i446,u2729,click,2014/9/22,21:17
